shop_name,listing_id,title,tags,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12,image_13,image_14,image_15,image_16,image_17,image_18,image_19,image_20
Replace Mockup,1863284009,"I Love My Cougar Girlfriend Comfort Colors Shirt, Two Sided Shirt For Boyfriend, Funny Cougar Girlfriend Tee, Gift For Him","I Love My Girlfriend, I Love Older Women, I Love Cougars Shirt, Funny Cougars Shirt, Gift For Him, Cougars T-Shirt, Dating Older Women, Gift For Boyfriend, Cougar Tee, I Love T Shirt, I Heart T Shirt, Girlfriend Shirt, Valentines Day Shirt",D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_art_back_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_art_back_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_art_back_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_art_back_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_art_back_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_art_back_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_art_back_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_art_back_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1863284009_pose_E3_white_single.png
Replace Mockup,4347273296,"Stars Hollow Luke's Diner Comfort Colors Shirt, Luke’s Coffee Mug Tee, Stars Hollow Connecticut Long Sleeve, Autumn Festival Gift","Stars Hollow Shirt, Lukes Diner Shirt, Lukes Coffee Shirt, Stars Hollow Sweater, Tv Show Fans Gift, Gift For Her, Autumn Festival Tee, Founded 1779, Lorelai Gilmore, Rory Gilmore, Stars Hollow Sweat, Lorelai Sweatshirt, Comfort Colors Shirt",D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_E3_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_E5_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_F1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_F2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_G1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_H1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4347273296_pose_I1_dark_single.png,,
Replace Mockup,1858558633,"Villain Assistant Comfort Colors Shirt For Fan, Greeting From Rennedawn T Shirt, Villain Lover Tee, Funny Gift For Romantasy Book Lover","Assistant Wanted, Rennedawn, Kingsley The Frog, Romantasy Bookish, Cute Frog Shirt, Apprentice Villain, Frog Lover Gift, Disney Villains, Evie Sage, TheAssistant, the assistant, And TheVillain, and The Villain",D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_E3_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_E5_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_F1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_F2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_G1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_H1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1858558633_pose_I1_dark_single.png,,
Replace Mockup,4328546006,"Fourth Wing Books Stamp Shirt Comfort Colors, Fourth Wing Inspired Shirt, Dragon Rider Shirt, Romantasy Fan Shirt, Book Lovers Tee","Fourth Wing Shirt, Basgiath War College, Fourth Wing Merch, Violet Sorrengail, Dragon Rider Shirt, Bookish Shirt, Gifts For Readers, Literary Stamp Tee, Iron Flame Book, rebecca yarros Shirt, Xaden Riorson Shirt, Bookish Gift, Bookish Merch",D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_E3_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_E5_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_F1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_F2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_G1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_H1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_blend_pose_I1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4328546006_pose_A2_white_single.png
Replace Mockup,1882605049,"Beware Of A Vampire Comfort Colors Shirt, Funny Astarion Game Fan T Shirt, Astarion Dark Humor BG3 Apparel, High Elf Game","Dungeon And Dragon, Astarion Approves, Video Game Shirt, Baldurs Gate 3 Merch, Dungeon Master Shirt, Astarion High Elf, Gamer Gifts For Men, Astarion Bg3, Baldurs Gate 3 Shirt, Astarion Simp, Astarion Juice Box, Gifts For Her, Gift For Him",D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_E3_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_E5_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_F1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_F2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_G1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_H1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1882605049_pose_I1_dark_single.png,,
Replace Mockup,4333147924,"Retro Spooky Island Shirt Comfort Colors,  Disco Skull Cartoon Halloween Movie T Shirt, The 90s SDWAY Tee, Halloween Skeleton Gift","Spooky Island Shirt, halloween scoobydoo, 90s nostalgia, Amusement Park Shirt, Disco Skull Tee, Comfort Colors, Funny Dog Movie, Where Are You, Halloween Graphic, Halloween Skeleton, Funny Hlw T Shirt, Family Halloween",D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_E3_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_E5_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_F1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_F2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_G1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_H1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4333147924_pose_I1_dark_single.png,,
Replace Mockup,1796473638,"Stars Hollow Where You Lead I Will Follow Comfort Colors Shirt, Lukes Diner Shirt, 2 Sided Stars Hollow, Retro Gilmore Girls Tee","Stars Hollow Shirt, Gilmore Girls Shirt, Gift For Her, Vintage Style Shirt, Tv Show Fans Gift, Lukes Diners Shirt, Gilmore Girl Gift, Autumn Festival Tees, Fall Sweatshirt, Where You Lead, Comfort Colors Shirt, Lukes Coffee Shirt, Autumn Shirt",D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_E3_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_E5_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_F1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_F2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_G1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_H1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1796473638_pose_I1_dark_single.png,,
Replace Mockup,1861983874,"Run Little Mouse Comfort Colors Shirt, Rose Skeleton Shirt, Haunting Adeline Tshirt, Dark Romance Merch, Smut Reader, Book Lover Gifts","Book Lover Gift, Book Merch, Smutty Shirt, Bookish Shirt, Bookstagram Shirt, Book Lover Shirt, Spicy Book Shirt, Cat And Mouse, Bookish Merch, Run Little Mouse, Dark Romance Merch, Smut Reader, Haunting Adeline",D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_E3_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_E5_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_F1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_F2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_G1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_H1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1861983874_pose_I1_dark_single.png,,
Replace Mockup,1873237315,"Ridoc Quest Squad Comfort Colors Shirt, I Kept The Inside Thoughts Inside Tee, Onyx Storm Fourth Wing Shirt For Fans, Bookish Gift","Fourth Wing Shirt, Onyx Storm Shirt, Basgiath War College, Violet Sorrengail, Quest Squad Shirt, Dragon Rider Shirt, Xaden Riorson Shirt, Ridoc Merch, Empyrian Shirt, Fourth Wing Merch, Quest Squad Onyx, Book Lover Gift, Xaddy Xaden Riorson",D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_E3_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_E5_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_F1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_F2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_G1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_H1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_art (2)_pose_I1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1873237315_pose_A2_white_single.png
Replace Mockup,1842339560,"Jasmine Dragon Tea Shop Comfort Colors Shirt, Uncle Iroh Shirt Gift, Anime Lover's Gift, Uncle Iroh Tea Shop Inspired, Avatar TShirt","The Last Airbender, Avatar Gift, Comfort Colors Shirt, Uncle Iroh Tea Shirt, Cartoon Series Shirt, Make Tea Not War, Avatar Shirt, Jasmine Dragon Shirt, Jasmine Green Tea, Ba Sing Se Shirt, Uncle Iroh Vintage, Funny Uncle Iroh, Airbender Shirt",D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_E3_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_E5_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_F1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_F2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_G1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_H1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1842339560_pose_I1_dark_single.png,,
Replace Mockup,4329603866,"TOG Book Stamps Comfort Colors Shirt, Terrasen The Thirteen T Shirt, Aelin Fireheart Tee, TOG Series Gift For Book Lover","Manon Blackbeak, TOG Stamps Shirt, Bookish Merch, Aelin Galathynius, Sarah J Maas Merch, Sjm Merch, The Thirteen Shirt, Bookish Stamps, Throne Of Glass Tee, Fire Heart Queen, We Are The Thirteen, Sarah J Maas Shirt, Acotar Merch",D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_E3_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_E5_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_F1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_F2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_G1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_H1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329603866_pose_I1_dark_single.png,,
Replace Mockup,4329098307,"The Parent Trap Camp Walden Comfort Colors Shirt, 90s Nostalgia TShirt, Hallie Annie Parker Birthday Gift, Camp Walden Vacation Shirt","The Parent Trap, Camp Walden Shirt, Parent Trap Shirt, Napa Valley, Parker Knoll Shirt, 90S Parent Trap, Camp Bachelorette, Parker Knoll Lindsay, Camp Parent Trap, 90S Nostalgia, Camp Walden Club, Lindsay Lohan, Comfort Colors Shirt",D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_art_back_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_art_back_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_art_back_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_art_back_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_art_back_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_art_back_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_art_back_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_art_back_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\4329098307_pose_E3_white_single.png
Replace Mockup,1738772906,"Shadowsinger Night Court Comfort Color Shirts, Azriel SJM Book Merch Inspired, The Bat Boys Velraris Tee","Bookish Merch, The Bat Boys Shirt, Azriel Crescent City, Bat Boys Wings, Gift For Book Lovers, Sarah J Maas Velaris, Feyre Acotar Tee, Acotar Velaris Shirt, Bookworm Gift, The Night Court, Gift For Reader, City Of Starlight, Bookish Shirt",D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_A1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_A2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_B1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_B2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_C1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_C2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_D1_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_D2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_D4_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_E1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_E2_dark_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_E3_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_E5_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_F1_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_F2_white_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_G1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_H1_single.png,D:\Intern\Code\topcv-data-pipeline\output\single\1738772906_pose_I1_dark_single.png,,
